Name,Location,Dates,Description
Fiestas de San Bernabé,Logroño,Del 08/06/2018 al 12/06/2018,"…Logroño. Rioja, La. http://www.logroño.es. La ciudad de Logroño rememora anualmente, con sus fiestas patronales, la victoria que tuvo lugar en 1521 ante las tropas del ejército francés, al mando de André de Foix, señor d…"
Corpus Christi de Ponteareas,Ponteareas,Del 12/06/2018 al 18/06/2018,…Ponteareas. Pontevedra. (Galicia) Esta fiesta se celebra en Ponteareas el domingo siguiente al día del Corpus. Es la celebración más importante de esta localidad situada en la provincia de Pontevedra. Los festejos destac…
Sant Magí,Tarragona,Del 15/06/2018 al 19/06/2018,…Tarragona. (Cataluña) E-mail: turisme@tarragona.cat. www.tarragonaturisme.cat. Es una de las principales fiestas de la ciudad de Tarragona y en ella destacan los actos tradicionales relacionados con el agua. Durante la c…
Fiestas del fuego del solsticio de verano en los Pirineos,Los Pirineos,23/06/2018,"…Regiones de Sobrarbe y La Ribagorza (Aragón) y regiones de Alta Ribagorza, Berguedá, Pallars Jussà, Pallars Sobirá y la Val d'Aran (Cataluña). http://fallasdelpirineo.com. Una tradición ancestral con la que se celebra la…"
Paso del fuego,LasMóndidasSanPedroManrique,Del 23/06/2018 al 24/06/2018,…San Pedro Manrique. Soria. (Castilla y León) E-mail: turismo@dipsoria.es. http://www.sorianitelaimaginas.com/fiestas/paso-del-fuego-y-mondidas-san-pedro-manrique. Paso del fuego. Las Móndidas (San Pedro Manrique; Soria).…
Hogueras de San Juan,"Coruña,A",Del 23/06/2018 al 24/06/2018,"…Coruña, A. (Galicia) www.hoguerassanjuan.com. A Coruña , en Galicia, se convierte en una gigantesca hoguera cuando celebra la llegada del verano en la noche de San Juan. Ya en el mes de mayo comienzan diferentes activida…"
Sant Joan,Tarragona,Del 23/06/2018 al 24/06/2018,…Tarragona. (Cataluña) E-mail: turisme@tarragona.cat. www.tarragonaturisme.cat. La ciudad de Tarragona festeja la noche más corta del año con sus tradicionales hogueras. El solsticio de verano está asociado a una noche má…
De la Luna al Fuego,Zafra,Del 15/06/2018 al 24/06/2018,…Zafra. Badajoz. (Extremadura) E-mail: turismo@zafra.es. www.zafra.es. La celebración pretende evocar dos fiestas: la del Corpus y la de San Juan. Se trata de un acontecimiento intramuros donde se recrea el ambiente urban…
Hogueras de San Juan,Alicante-Alacant,Del 20/06/2018 al 24/06/2018,…Alicante-Alacant. (Comunidad Valenciana) Fax.: +34 966385268 | E-mail: federacio@hogueras.org. http://www.hogueras.org/. Hogueras de San Juan (Alicante). Alicante celebra la llegada del verano con las Hogueras de San Jua…
Batalla del Vino,Haro,29/06/2018,"…Haro. Rioja, La. http://www.batalladelvino.com/. La localidad riojana de Haro celebra el 29 de junio, día de San Pedro, una curiosa fiesta: la Batalla del Vino. El origen de esta tradición se remonta a un posible litigio…"
Romerías a Orreaga-Roncesvalles,Orreaga-Roncesvalles,Del 05/05/2018 al 30/06/2018,…31650. Orreaga-Roncesvalles. Navarra. Fax.: +34 948760301 | E-mail: oit.roncesvalles@navarra.es. Numerosos habitantes de diversas localidades de la zona de los Pirineos se desplazan en romería cada primavera para venerar…
Fiesta del Cordero,Lena,01/07/2018,"…Lena. Asturias. www.aytolena.es. Lena, en Asturias, celebra cada primer domingo de julio esta fiesta de degustación de cordero asado desde 1965. Cada año más personas se reúnen para saborear el cordero “a la estaca” en e…"
Fiesta de la Langosta,"Guarda,A",Del 30/06/2018 al 02/07/2018,"…Guarda, A. Pontevedra. (Galicia) www.aguarda.es/. A Guarda vive cada año la gran Fiesta de la Langosta. Este pueblo de la costa de Pontevedra rinde homenaje a este marisco típico de la zona en una celebración en la que p…"
Festival del Teatro Medieval,Hita,07/07/2018,"…c\ San Pedro, 6. 19248. Hita. Guadalajara. (Castilla-La Mancha) E-mail: turismo@hita.es. http://www.hita.es/web/. Festival del Teatro Medieval de Hita. Junto a las representaciones de obras medievales destacan los desfil…"
Romería de San Benito Abad,SanCristóbaldelaLaguna,Del 07/07/2018 al 08/07/2018,…San Cristóbal de la Laguna. Tenerife. (Canarias) E-mail: archivomunicipal@aytolalaguna.es. http://www.aytolalaguna.com. Se trata de una de las fiestas populares más tradicionales y arraigadas de las Islas Canarias. La Ro…
Fiestas de San Fermín,Pamplona-Iruña,Del 06/07/2018 al 14/07/2018,…Pamplona-Iruña. Navarra. http://www.turismo.navarra.es/esp/propuestas/san-fermines. Los encierros son el plato fuerte de esta famosa celebración que transforma Pamplona en una fiesta continua. La ciudad de Pamplona es co…
Festival Internacional del Mundo Celta,Ortigueira,Del 12/07/2018 al 15/07/2018,"…Ortigueira. Coruña, A. (Galicia) http://www.festivaldeortigueira.com/. Es uno de los macrofestivales más multitudinarios de España y todo un referente mundial de la música folk. Centrado en los sonidos celtas, este acont…"
Moros y Cristianos de Orihuela,FiestadelaReconquistaOrihuela,Del 15/07/2018 al 21/07/2018,"…C/ Francisco Die, 32-34. 03300. Orihuela. Alicante-Alacant. (Comunidad Valenciana) E-mail: secretaria@morosycristianosorihuela.es. http://www.morosycristianosorihuela.es/. Orihuela recuerda la liberación de la ciudad del…"
Festa del Renaixement,Tortosa,Del 19/07/2018 al 22/07/2018,…Tortosa. Tarragona. (Cataluña) E-mail: info@festadelrenaixement.cat. http://www.festadelrenaixement.org/. En la segunda quincena de julio Tortosa se transforma para viajar en el tiempo y mostrar el esplendor de una ciuda…
Certamen Internacional de Habaneras y Polifonía,Torrevieja,Del 22/07/2018 al 28/07/2018,"…Calle Patricio Pérez, 1 - 1ºC. 03181. Torrevieja. Alicante-Alacant. (Comunidad Valenciana) http://www.habaneras.org/. Se celebra en homenaje a los marinos de Torrevieja, en Alicante, que viajaban para comerciar con Cuba,…"
Ajedrez Viviente,Jávea-Xàbia,28/07/2018,…Jávea-Xàbia. Alicante-Alacant. (Comunidad Valenciana) http://www.xabia.org/ver/1611/Ajedrez-Viviente.html. Los niños de Xàbia-Jávea escenifican una obra de teatro sobre un gigantesco tablero de ajedrez. La ciudad de Xàbi…
Fiesta Vaqueira,Valdés,29/07/2018,…Aristebano. Valdés. Asturias. Celebración tradicional que se celebra desde el año 1959 cada último domingo del mes de julio. La fiesta está dedicada a los “vaqueiros” (grupo humano asturiano con profundas raíces y costum…
Fiesta de Santiago Apóstol,SantiagodeCompostela,Del 15/07/2018 al 31/07/2018,"…Santiago de Compostela. Coruña, A. (Galicia) http://www.santiagoturismo.com/. Las fiestas en honor al patrón de España y de Galicia viven su momento álgido durante los llamados “Fuegos del Apóstol”, la Ofrenda del Santo …"
Moros y Cristianos,VilaJoiosa-LaVillajoyosa,Del 24/07/2018 al 31/07/2018,"…Calle Ciutat de València, 27 entresuelo. 03570. Vila Joiosa-La Villajoyosa. Alicante-Alacant. (Comunidad Valenciana) E-mail: info@associaciosantamarta.org. http://www.villajoyosa.com/sites/desembarco/. Durante ocho días,…"
Fiesta de la Rama,Agaete,04/08/2018,"…C/ Triana 93. 35002. Agaete. Gran Canaria. (Canarias) Fax.: 928 219 601 | http://www.grancanaria.com/patronato_turismo/. Agaete, en el norte de la isla de Gran Canaria, celebra esta fiesta en honor a la Virgen de las Nie…"
Fiesta de las Piraguas,DescensoInternacionaldelSellaParres,04/08/2018,"…Arriondas. Parres. Asturias. http://www.descensodelsella.com. Desde 1930 se celebra esta fiesta deportiva, llena de música y colorido, que se ha convertido en una de las citas más importantes del piragüismo mundial. Todo…"
Día de Asturias en Gijón,Gijón,04/08/2018,"…Gijón. Asturias. http://www.gijon.info/. Día de Asturias en Gijón. El desfile de carrozas con bandas de música es el momento más destacado de esta fiesta. En este día, todos los alcaldes de Asturias acuden a Gijón como i…"
Romería Vikinga,Catoira,05/08/2018,…Catoira. Pontevedra. (Galicia) Cada primer domingo de agosto los habitantes de Catoira escenifican con un singular espectáculo las invasiones vikingas sufridas hace mil años. Miles de personas acuden cada año el primer d…
Descenso a nado de la ría de Navia,Navia,05/08/2018,"…Navia. Asturias. http://www.naviaturismo.com. Deporte y folclore coinciden en este evento tan singular. Navia, pueblo de la costa de Asturias, celebra en agosto el Descenso a Nado de la ría, una prestigiosa prueba intern…"
Fiesta del pan y el queso,Quel,06/08/2018,"…Quel. Rioja, La. http://www.lariojaturismo.com. Es una de las fiestas más antiguas de la Península Ibérica. Se desarrolla junto a la Ermita del Santo Cristo de Quel. Desde ella y en honor a la Virgen María, los miembros …"
Fiesta del Pulpo,"Carballiño,O",12/08/2018,"…Carballiño (O). Carballiño, O. Ourense. (Galicia) E-mail: info@festadopulpodocarballino.es. O Carballiño, en Ourense, celebra en el mes de agosto la tradicional Fiesta del Pulpo. En torno a grandes calderas de cobre, mil…"
Lecturas del Cantar de Roldán,Orreaga-Roncesvalles,15/08/2018,"…Orreaga-Roncesvalles. Navarra. La Iglesia de Santiago de Orreaga-Roncesvalles, en Navarra, es el escenario donde cada 15 de agosto es posible escuchar la lectura del poema “Cantar de Roldán”, en el que se narra la muerte…"
Fiestas Patronales de Nuestra Señora del Rosario,Valdés,15/08/2018,"…Luarca. Valdés. Asturias. La tradición marinera de la localidad está muy presente en los actos de estos festejos. En las fiestas de esta población de Asturias, el saleo (procesión marinera) de la Virgen del Rosario es el…"
Misterio de Elche,Elche-Elx,Del 11/08/2018 al 15/08/2018,"…Carrer Major de la Vila, 27. 03202. Elche-Elx. Alicante-Alacant. (Comunidad Valenciana) E-mail: comunicacion@misteridelx.com. http://www.misteridelx.com/. Esta representación religiosa ha sido proclamada por la UNESCO Ob…"
Verbena de la Paloma,Madrid,Del 12/08/2018 al 15/08/2018,…Madrid. https://www.esmadrid.com/fiestas-agosto-madrid. Es una de las fiestas populares de verano más importantes de Madrid junto a las de San Cayetano y San Lorenzo. Se hacen en honor a la Virgen de la Paloma y son una …
Fiestas de San Lorenzo,Huesca,Del 09/08/2018 al 15/08/2018,"…Huesca. (Aragón) http://www.huesca.es/areas/fiestas/. La segunda semana de agosto, Huesca celebra las fiestas en honor de su patrón, San Lorenzo. El sonido del cohete que se lanza desde el balcón del Ayuntamiento es la s…"
Fiestas de Nuestra Señora de la Asunción,"Alberca,La",Del 15/08/2018 al 16/08/2018,"…Alberca, La. Salamanca. (Castilla y León) E-mail: turismo@laalberca.com. http://www.laalberca.com/index.html. Fiestas de Nuestra Señora de la Asunción. De origen antiquisimo, se celebran frente al atrio de la iglesia y t…"
Fiesta del Asturcón,Piloña,18/08/2018,"…Sardeda. Piloña. Asturias. Celebración en honor al asturcón, caballo por antonomasia de la región de Asturias, y que tiene su origen en 1980, cuando la raza estaba en peligro de extinción. Tiene lugar en la villa de Sard…"
Semana Grande de San Sebastián,Donostia-SanSebastián,Del 11/08/2018 al 18/08/2018,"…Alameda Boulevard, 8. 20003. Donostia-San Sebastián. Gipuzkoa. (País Vasco) E-mail: sansebastianturismo@donostia.org. http://www.sansebastianturismo.com/es/. San Sebastián vive durante el mes de agosto su Semana Grande. …"
Feria de Málaga,Málaga,Del 11/08/2018 al 18/08/2018,…Málaga. (Andalucía) E-mail: info@malagaturismo.com. http://www.malagaturismo.com/. La Feria de Málaga conmemora la reconquista de la ciudad por los Reyes Católicos en agosto de 1487. En el antiguo Cortijo de Torres se si…
Semana del Renacimiento,MedinadelCampo,Del 14/08/2018 al 21/08/2018,"…Medina del Campo. Valladolid. (Castilla y León) E-mail: medina21@medinadelcampo.es. http://imperialesycomuneros.com/. Medina del Campo, en Valladolid, se traslada durante unos días a los siglos XV y XVI para recrear su m…"
Batalla de flores de Laredo,Laredo,24/08/2018,"…39770. Laredo. Cantabria. E-mail: batalladeflores@batalladeflores.net. http://batalladeflores.net/. La localidad de Laredo, en Cantabria, viste sus calles de flores cada último viernes de agosto con motivo de esta fiesta…"
Carreras de caballos en la playa,SanlúcardeBarrameda,Del 08/08/2018 al 24/08/2018,"…Sanlúcar de Barrameda. Cádiz. (Andalucía) http://www.sanlucarturismo.com/. Este emocionante y bello espectáculo deportivo es una de las competiciones hípicas más antiguas de Europa. Por las tardes, durante la bajamar, la…"
Festa da Istoria,Ribadavia,25/08/2018,…Ribadavia. Ourense. (Galicia) E-mail: oficina.turismo.ourense@xunta.es. http://www.turgalicia.es/. Festa da Historia de Ribadavia. Retorno a la Edad Media por un día. El último sábado de agosto es posible vivir una verda…
Feria de Almería,Almería,Del 17/08/2018 al 25/08/2018,"…Almería. (Andalucía) http://www.turismodealmeria.org/. En el marco de la Feria y Fiestas de Almería en honor a la patrona, la Virgen del Mar, se celebran diferentes actos para todos los públicos. De entre ellos destacan …"
Día del Traje Típico Ansotano,Ansó,Del 25/08/2018 al 26/08/2018,"…Ansó. Huesca. (Aragón) La localidad de Ansó, en la provincia de Huesca, celebra desde 1971 esta fiesta en honor a su traje típico. Cada último domingo de agosto, los ciudadanos de Ansó vuelven a vestir el traje típico de…"
Feria del Cabrales,Cabrales,26/08/2018,"…Las Arenas. Cabrales. Asturias. El pueblo asturiano de Arenas de Cabrales, en el corazón de los Picos de Europa, celebra el último domingo de agosto el Certamen del Queso de Cabrales. En este festejo se mezclan folclore …"
Semana Grande de Bilbao (Aste Nagusia),Bilbao,Del 18/08/2018 al 26/08/2018,…Bilbao. Bizkaia. (País Vasco) http://www.bilbaoturismo.net/BilbaoTurismo/es/folclore-y-fiestas-populares/aste-nagusia_2. Durante la Semana Grande de Bilbao se celebran las fiestas en honor a la Virgen de Begoña. La capit…
El Cipotegato,Tarazona,27/08/2018,"…Tarazona. Zaragoza. (Aragón) E-mail: cultura@tarazona.es. http://www.tarazona.es/tu-ciudad/conoce-tarazona/cultura-y-tradicion. Tradición festiva de la localidad de Tarazona, en Zaragoza (Aragón) y que tiene como protago…"
El Sexenni de Morella,Morella,Del 18/08/2018 al 27/08/2018,"…Plaza Sant Miquel s/n. Morella. Castellón-Castelló. (Comunidad Valenciana) http://www.morella.net/morella/conocenos/sexenni/. La ciudad de Morella, en Alicante, vive cada seis años su fiesta en honor a la Virgen de Valli…"
Fiesta de Nuestra Señora del Rosario,LosEncierrosdeCuéllarCuéllar,Del 26/08/2018 al 30/08/2018,"…Cuéllar. Segovia. (Castilla y León) http://www.jcyl.es/. Dentro de las fiestas patronales de la localidad de Cuéllar, a 60 kilómetros de Segovia, se realizan estos encierros taurinos que presumen de ser los más antiguos …"
La Tomatina,Buñol,30/08/2018,"…Buñol. Valencia-València. (Comunidad Valenciana) www.latomatina.info. El origen de esta multitudinaria ""batalla” de tomates se remonta a una pelea juvenil sucedida en el año 1945 y, desde entonces, no ha dejado de celebr…"
Fiesta Mayor de Vilafranca del Penedés,VilafrancadelPenedès,Del 29/08/2018 al 02/09/2018,"…Carrer de la Cort, 14. 08720. Vilafranca del Penedès. Barcelona. (Cataluña) E-mail: festamajor@vilafranca.cat. http://www.festamajorvilafranca.cat/. Fiesta en torno a la celebración de San Félix que llena las calles de b…"
Fiestas del Motín,Aranjuez,Del 01/09/2018 al 02/09/2018,…Plaza de la Constitución s/n 1ª Planta. Aranjuez. Madrid. E-mail: fiestas@aranjuez.es. http://www.aranjuez.es/index.php/fiestas. Representación del amotinamiento contra Godoy. En cada uno de los barrios de Aranjuez se re…
Las Guerras Cántabras,"CorralesdeBuelna,Los",Del 26/08/2018 al 04/09/2018,"…c/ San Jorge s/n Centro Social La Rasilla. 39400. Corrales, Los. Corrales de Buelna, Los. Cantabria. E-mail: secretaria@guerrascantabras.net. www.guerrascantabras.net. El pueblo de Corrales de Buelna, en la región de Can…"
